Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
Restaurant 0,Rural,Japanese,4,38,73.98,2224,23406,13,185,161.9249057,1.3,7,Yes,13,4,638945.52
Restaurant 1,Downtown,Mexican,3.2,76,28.11,4416,42741,8,533,148.7597174,2.6,3.4,Yes,48,6,490207.83
Restaurant 2,Rural,Italian,4.7,48,48.29,2796,37285,18,853,56.84918946,5.3,6.7,No,27,14,541368.62
Restaurant 3,Rural,Italian,4.4,34,51.55,1167,15214,13,82,205.4332653,4.6,2.8,Yes,9,17,404556.8
Restaurant 4,Downtown,Japanese,4.9,88,75.98,3639,40171,9,78,241.6815841,8.6,2.1,No,37,26,1491046.35
Restaurant 5,Downtown,Indian,4.4,79,35.69,6787,75378,5,400,247.5444608,2,8.5,Yes,27,22,644220.9
Restaurant 6,Rural,Mexican,4.9,49,35.3,2594,32587,11,106,206.159035,1.5,5.3,No,12,28,400348.65
Restaurant 7,Suburban,Japanese,4.1,61,73.65,3213,33429,14,377,135.3193124,1.8,4.6,No,56,23,1014153.65
Restaurant 8,Rural,Japanese,4.2,37,73.75,3437,37102,18,494,55.65241712,7.1,9.4,Yes,27,24,635606.1
Restaurant 9,Rural,French,5,32,59.8,2569,28419,18,907,273.9448868,6.4,7.4,No,12,19,452920.65
Restaurant 10,Rural,French,4.3,48,59.25,2840,36487,16,520,157.2615546,6.7,7.1,No,16,45,656474.6
Restaurant 11,Rural,Indian,3.1,40,32.11,2792,34058,4,419,200.2938622,2.4,2.7,No,4,20,295333.14
Restaurant 12,Downtown,Mexican,4.4,77,35.6,8511,88420,19,741,98.6390188,5.6,2.9,Yes,46,39,645268.3
Restaurant 13,Rural,American,4.8,42,45.55,1968,22976,5,420,85.48892948,7.9,5.3,Yes,4,39,437468.35
Restaurant 14,Suburban,French,4.6,59,63.22,3282,39922,2,988,71.7044282,7.2,6.9,No,18,1,836011.9
Restaurant 15,Downtown,American,4.2,87,38.26,2460,27600,17,687,249.6913013,4.9,4.6,Yes,38,47,760413.88
Restaurant 16,Suburban,Italian,4.3,61,47.7,1315,20612,4,685,211.6151783,1.9,1.6,Yes,30,48,651068
Restaurant 17,Suburban,French,5,56,65.87,3994,42576,6,971,205.2898147,8.8,7.1,Yes,24,41,836123.03
Restaurant 18,Suburban,French,3.2,60,55.73,2270,23723,18,421,279.8494369,5.7,8,Yes,50,45,767869.7
Restaurant 19,Suburban,Mexican,4.3,59,34.28,1940,20192,6,539,89.6780598,9,9.5,Yes,0,43,464653.52
Restaurant 20,Downtown,Indian,3.6,72,33.91,2462,26536,15,302,92.56733795,4.9,4.7,No,37,10,561710.45
Restaurant 21,Downtown,American,4.3,76,39.61,3444,40515,1,535,97.36728738,3.1,3.3,No,65,65,676879.89
Restaurant 22,Suburban,French,4.2,53,64.15,1957,22672,17,920,155.8423576,3.8,9.3,Yes,40,46,779565.05
Restaurant 23,Suburban,French,3.3,57,56,2348,26717,2,307,268.5554338,4.8,7.4,No,41,14,715699.85
Restaurant 24,Downtown,Mexican,3.4,77,28.9,6712,72937,4,488,270.3685315,6.5,1.6,Yes,16,25,511266.45
Restaurant 25,Downtown,Mexican,4.2,75,35.47,2035,24134,3,651,197.6469341,7.9,6.2,Yes,35,2,599518.34
Restaurant 26,Downtown,Indian,3.3,82,37.69,1418,18874,3,67,214.5357245,3.2,1.3,Yes,51,17,687854.64
Restaurant 27,Rural,American,3.5,41,43.3,3124,37912,14,268,274.4405859,2.7,3,No,13,19,414143.9
Restaurant 28,Rural,Italian,4.7,32,53.33,2362,29777,8,561,206.0547389,2.8,1.6,Yes,16,23,392170.36
Restaurant 29,Rural,Indian,3.7,35,30.67,2749,29486,8,227,107.4499195,9.4,2.8,No,27,15,256525.49
Restaurant 30,Suburban,Italian,4,68,47.24,3194,36724,9,258,226.2285171,2.5,5.4,No,5,9,724252.64
Restaurant 31,Rural,Japanese,4.9,40,70.4,2029,27413,18,862,242.4726935,4.1,3.7,No,8,21,646783.75
Restaurant 32,Suburban,French,3.5,53,59.05,2351,31725,7,576,208.8361558,5.4,1.8,No,10,19,703970.55
Restaurant 33,Suburban,American,3.8,64,39.52,3799,44954,10,284,118.3923659,6,5.3,Yes,7,48,580250.12
Restaurant 34,Rural,Indian,4.2,31,38.6,956,14320,1,184,149.9794624,8.7,7.4,No,14,15,274742.8
Restaurant 35,Suburban,French,4.5,64,55.16,4028,40754,4,258,167.6481019,2,1.5,Yes,51,9,790777.86
Restaurant 36,Rural,American,4.8,46,42.27,3810,44176,4,260,86.32460454,2,8.9,Yes,22,25,445708.47
Restaurant 37,Rural,American,4.8,31,35,4536,51384,14,716,163.0558136,3.8,6.9,Yes,5,16,268505.2
Restaurant 38,Downtown,American,4.6,76,35.69,3560,41693,5,601,90.29935583,4.7,5.7,Yes,38,11,614599.82
Restaurant 39,Rural,French,3.5,45,59.49,2143,21600,5,322,174.862936,4.4,4.6,No,10,6,601664.29
Restaurant 40,Downtown,Indian,3,74,39.25,2397,29088,19,209,62.70268964,4.5,4.5,No,4,60,667565.4
Restaurant 41,Rural,Mexican,3.8,45,26.59,3754,44524,5,193,287.132873,8.7,4,No,30,32,283286.23
Restaurant 42,Rural,French,3.3,48,61.1,2520,28671,11,752,111.5862161,8.5,2,Yes,15,43,668794.55
Restaurant 43,Downtown,American,4.4,71,42.46,6923,75267,2,557,166.7535775,8.2,1.7,No,29,61,686243.79
Restaurant 44,Downtown,Indian,4.3,84,32.52,3365,37755,15,783,58.18804413,7.8,3.8,No,24,17,628872.49
Restaurant 45,Rural,Japanese,3.1,33,70.64,1576,20621,14,383,98.18038055,1.4,7,No,11,10,534359.77
Restaurant 46,Suburban,Italian,4.7,51,55.03,2420,26703,14,551,223.311248,2.3,3.6,No,2,11,638362.61
Restaurant 47,Downtown,American,3.5,79,40.63,4396,52183,8,493,77.95015078,7.6,8.3,No,52,31,732451.07
Restaurant 48,Suburban,Japanese,3.9,54,66.73,1668,19396,8,803,207.0372902,6.4,4.4,No,3,35,810162.52
Restaurant 49,Suburban,Mexican,4.3,67,31.91,2715,31583,5,922,50.51722286,7.1,6.7,No,49,35,490291.52
Restaurant 50,Suburban,American,3.9,53,41.51,2028,23259,5,899,166.2523314,7.5,4.9,No,47,9,501334.08
Restaurant 51,Downtown,Japanese,3.9,70,65.3,2139,28365,14,135,230.3359102,9.2,5.5,No,14,40,1030821.95
Restaurant 52,Suburban,American,3.1,67,36,2063,27503,5,229,281.5732157,6.7,3.3,No,31,2,544343.65
Restaurant 53,Downtown,French,3.8,89,56.72,6601,71072,9,129,173.209044,3.5,5.6,Yes,84,47,1140222.94
Restaurant 54,Suburban,Indian,4.5,55,31.5,976,17078,11,866,260.1331174,1.7,2,Yes,1,47,397829.4
Restaurant 55,Rural,Japanese,4.8,49,67.85,1092,14277,17,610,250.6478387,4.9,4.5,No,45,48,759680.25
Restaurant 56,Rural,Indian,3.8,49,35,3448,40630,12,203,123.9426943,7.4,5,No,47,38,404369.5
Restaurant 57,Downtown,French,3.8,83,59.09,1578,16962,12,228,268.683406,3.5,7.3,Yes,66,75,1103481.72
Restaurant 58,Rural,French,4.4,39,64.8,2632,31401,16,348,210.070745,2.1,4.6,Yes,24,15,581548.05
Restaurant 59,Rural,Indian,4.9,47,36.73,2117,21300,1,375,76.04616202,10,7,Yes,26,28,394535.81
Restaurant 60,Suburban,Japanese,3.5,58,74.64,3294,37894,18,804,284.7781991,4.8,2.6,Yes,26,48,983744.34
Restaurant 61,Downtown,Indian,3.9,81,35.8,3917,39953,6,888,94.16918538,2.9,1.2,Yes,8,64,655332.95
Restaurant 62,Suburban,Indian,4.6,59,30.99,1633,21961,5,58,167.5902368,2.5,5.6,No,35,27,415056.72
Restaurant 63,Suburban,Italian,4.2,70,50.1,1693,25006,18,477,166.5913464,8.8,5.3,Yes,10,44,800532.2
Restaurant 64,Suburban,Japanese,3.2,68,74.04,701,9386,13,241,206.3091558,8.4,7,Yes,38,59,1132488.36
Restaurant 65,Suburban,Italian,4.3,55,47.14,1715,25940,6,139,216.2391914,6.5,3.8,No,6,53,585880.06
Restaurant 66,Suburban,American,3.4,63,36,1737,20253,7,51,108.2269574,5.9,1.3,Yes,12,39,512848.15
Restaurant 67,Suburban,Indian,4,57,33.62,3076,34682,3,469,138.1106221,9.6,7.5,Yes,6,25,439556.78
Restaurant 68,Suburban,American,4.1,63,39.28,1666,17128,11,52,86.14755116,3.1,9.5,No,41,21,565140.92
Restaurant 69,Downtown,Japanese,4.8,80,68.37,1999,22056,8,999,81.50393351,4.7,4.5,Yes,46,24,1221327.6
Restaurant 70,Rural,Indian,3.9,45,31.49,2413,23681,4,454,256.2668388,1.2,6.5,No,42,23,325942.35
Restaurant 71,Suburban,American,3.6,69,37.76,1825,18960,10,541,237.6803351,4.8,5.9,Yes,5,6,591124.22
Restaurant 72,Suburban,Mexican,3.5,55,32.51,1000,11598,9,756,160.6708717,4.5,6.1,No,3,20,410222.58
Restaurant 73,Suburban,French,4.7,64,59.25,1986,22315,13,314,73.97732096,9.5,8.8,Yes,42,0,859809.25
Restaurant 74,Suburban,Indian,3.3,64,36.96,998,15828,19,829,162.4804358,4.2,7.6,Yes,24,59,549945.44
Restaurant 75,Suburban,French,3.9,63,60.9,2279,25738,15,292,123.6139234,8.5,7.9,Yes,19,1,869944.7
Restaurant 76,Suburban,Italian,3.4,70,51.04,1834,17917,5,726,244.4798051,7.9,1.8,No,24,16,799433.65
Restaurant 77,Rural,American,4.5,41,37.73,2419,31439,13,774,74.15983361,2.3,2.3,No,36,27,363203.11
Restaurant 78,Rural,Italian,3.9,31,50.74,3498,43114,12,982,162.8421384,9.7,7,Yes,8,15,375357.58
Restaurant 79,Suburban,Indian,3.7,57,30.26,2634,27596,9,409,197.8467609,6.7,5.9,Yes,40,52,401968.3
Restaurant 80,Rural,French,3.7,48,59.75,2156,27054,8,244,296.4313133,6.4,8,Yes,43,18,652011.45
Restaurant 81,Downtown,French,4.7,83,61.3,6348,72995,9,548,72.4020328,1.1,1.8,Yes,82,46,1146814.25
Restaurant 82,Suburban,American,4.1,54,37,3050,37196,13,617,78.49011804,7.3,6.1,No,11,13,465818.8
Restaurant 83,Downtown,Indian,4.4,78,32.82,5259,54074,9,666,297.0122901,1.5,5.4,Yes,34,55,587926.42
Restaurant 84,Downtown,Mexican,4.8,82,27.41,2540,27671,6,262,151.4062886,2.7,8.7,Yes,67,28,512250.28
Restaurant 85,Suburban,Mexican,4.8,58,25.78,1725,21828,6,880,235.9285768,1.9,2.7,No,55,1,342640.14
Restaurant 86,Rural,American,3.7,43,38.83,796,9045,11,203,245.8688456,4.4,4.1,No,18,10,384051.6
Restaurant 87,Downtown,Indian,4.9,74,40.77,8060,88657,10,777,128.6398523,8.2,2.4,No,49,31,697357.07
Restaurant 88,Suburban,American,3,51,38.89,2911,36596,14,95,103.5750517,7.4,5.1,Yes,43,46,464459.92
Restaurant 89,Downtown,Indian,3.8,76,35.07,6004,59758,6,230,119.0228,2,8.9,Yes,5,34,608976.71
Restaurant 90,Downtown,Italian,4.8,85,52.18,8349,88037,7,621,241.0983563,8.2,7,No,30,42,1007855.01
Restaurant 91,Downtown,American,3.5,80,42.13,3278,41075,9,805,260.1198628,5.1,7.7,Yes,72,72,768165.07
Restaurant 92,Downtown,Indian,3.5,80,40.45,1919,23426,3,275,224.8762343,1.3,1.8,Yes,47,33,721069.8
Restaurant 93,Rural,Mexican,3.6,41,34.43,3557,39751,12,81,160.3068924,3,5.1,No,25,8,333818.21
Restaurant 94,Downtown,Indian,4.2,82,38.73,2709,27371,16,396,115.6408642,8.1,8.5,Yes,5,63,728671.03
Restaurant 95,Downtown,Indian,3.9,77,40.47,7011,77577,13,495,156.3122606,7.6,8.5,Yes,36,46,722199.5
Restaurant 96,Downtown,American,4.5,85,37.54,6809,75456,6,224,278.6316549,2.7,9.9,Yes,20,8,726592.52
Restaurant 97,Rural,Italian,4.8,50,51.79,1062,18043,13,878,265.7988854,1.3,5.7,No,41,2,590078.62
Restaurant 98,Downtown,Italian,4.3,70,54.76,2549,31340,5,655,130.8440519,3.7,1,No,51,44,858723.5
Restaurant 99,Downtown,Italian,3.4,82,51.87,5039,58390,4,949,131.985204,8.2,9.1,No,66,20,960968.28
Restaurant 100,Rural,Italian,4.9,40,55.75,2769,29693,8,179,244.9935124,9.4,9.6,No,24,33,515043.9
Restaurant 101,Rural,Japanese,3.5,33,66.1,1180,15935,3,712,156.6435131,6.2,9.3,No,20,27,495552.15
Restaurant 102,Rural,American,3.3,33,39.83,1280,17016,2,872,193.1807021,1.8,7.9,No,10,32,300889.07
Restaurant 103,Downtown,French,3.2,84,65.75,1479,21198,19,346,155.5794351,5.5,2.9,No,26,39,1240981.15
Restaurant 104,Rural,American,4.1,32,39.18,2990,29432,7,301,110.584705,10,2.3,Yes,27,17,296005.96
Restaurant 105,Rural,Japanese,3.2,48,73.14,2936,31610,12,501,97.21344221,9.4,7.3,Yes,3,4,796696.16
Restaurant 106,Downtown,Italian,3.3,90,45.33,3122,29756,4,470,84.88542986,9.9,2.3,Yes,40,45,914518.15
Restaurant 107,Rural,Japanese,3.6,31,72.64,1175,10656,10,700,52.85569511,7.3,9.6,Yes,20,19,518131.22
Restaurant 108,Downtown,Mexican,3.6,75,35.28,4869,53171,9,981,120.1541142,4.8,5,No,47,45,608543.81
Restaurant 109,Suburban,Mexican,4.2,57,29.21,1342,12643,12,533,92.85214758,9,1.3,No,25,40,387388.23
Restaurant 110,Rural,American,4.6,46,35.23,2253,27549,11,832,114.4876067,9.1,2.4,No,20,30,379839.47
Restaurant 111,Suburban,American,4.5,54,35.31,4213,50835,19,406,68.95100237,2.3,3.6,No,38,41,451988.8
Restaurant 112,Downtown,French,3.5,71,64.81,1690,16080,2,884,135.3898407,8,7.3,No,67,52,1030200.08
Restaurant 113,Rural,French,3.5,41,62.95,2944,29455,6,673,179.9896474,9.3,7.6,Yes,36,32,591193.4
Restaurant 114,Downtown,Mexican,4.9,74,26.17,3471,35561,6,207,286.1428537,9.1,2.9,No,48,21,445315.3
Restaurant 115,Suburban,Italian,3,59,45.6,1063,14037,1,618,136.7679909,7.4,6.8,Yes,54,57,605891.55
Restaurant 116,Downtown,Japanese,4.8,78,73.85,9150,91714,7,751,57.75574479,5.8,1.3,No,67,7,1297333.3
Restaurant 117,Rural,French,3.4,49,63.91,940,12648,12,594,140.5910958,8,1.9,Yes,22,8,707915.91
Restaurant 118,Rural,Indian,4.9,37,31.33,4021,49725,12,882,254.3060719,5.6,5.8,Yes,8,10,282412.68
Restaurant 119,Suburban,French,3.7,50,58.32,2654,29751,6,50,135.0368166,3.9,7.3,Yes,39,30,659796.63
Restaurant 120,Downtown,Italian,3.9,75,53.58,6155,65421,14,692,122.9326676,3.3,9.2,Yes,23,36,917350.27
Restaurant 121,Rural,Italian,4.4,40,50.78,1308,17465,17,58,279.7487853,5.9,4.9,No,28,19,472570.71
Restaurant 122,Suburban,American,4.2,52,45.52,2334,30509,17,558,124.3073195,5.1,2.1,No,6,51,547718.85
Restaurant 123,Rural,Japanese,3.6,44,70.29,3194,38190,18,593,292.565421,5.7,9.4,No,17,22,713492.25
Restaurant 124,Rural,Italian,4.1,40,52.45,2715,31620,13,638,258.1589351,3.3,4.9,Yes,1,8,483963.55
Restaurant 125,Downtown,French,4.5,74,60.61,8378,89801,13,862,221.0624797,6.3,5.5,No,27,45,1024290.63
Restaurant 126,Rural,French,3.1,45,65.37,638,9937,11,144,199.5815684,7,8.7,No,42,17,668670.03
Restaurant 127,Downtown,Mexican,3,90,29.39,5425,52699,3,746,106.1951449,8.3,6.3,No,40,25,603751.7
Restaurant 128,Rural,Italian,3.9,36,47.53,881,15038,17,326,232.5996092,6.3,3.7,Yes,28,15,401495.71
Restaurant 129,Suburban,Indian,3.3,55,33.59,3200,38583,2,584,136.7845325,7.8,5.9,Yes,44,49,424462.57
Restaurant 130,Rural,American,4.3,38,44.38,1800,23928,2,971,171.41054,2.5,6.6,No,16,19,383272.06
Restaurant 131,Downtown,Japanese,3.4,76,70.48,4226,48246,7,166,76.01719551,2.1,9,No,16,15,1196887.3
Restaurant 132,Downtown,Indian,3.9,72,33.9,3412,35971,10,505,124.0385275,2.6,3.1,Yes,30,15,556837.25
Restaurant 133,Suburban,American,3.4,60,40.99,3388,35405,14,409,182.279867,8.6,6,Yes,22,48,570448.15
Restaurant 134,Rural,French,4.1,41,56.47,3396,39804,19,79,167.0103284,6,9.3,No,9,31,543195.13
Restaurant 135,Rural,Indian,3.2,50,30.06,772,7457,17,932,135.8782888,5.1,1.4,No,5,37,354064.37
Restaurant 136,Suburban,American,3,60,38.09,654,7708,16,374,167.9824888,7.9,2.8,Yes,37,58,527585.55
Restaurant 137,Rural,French,3.1,31,61.66,694,10727,17,969,236.2315335,2.1,4.1,No,23,16,444629.83
Restaurant 138,Rural,French,4.9,30,62.83,1941,21205,18,123,164.831391,1.1,7.1,Yes,14,24,441498.39
Restaurant 139,Downtown,French,3.3,71,64.09,4159,47693,11,881,176.5391179,3.8,8.6,Yes,26,52,1029119.58
Restaurant 140,Rural,French,4.4,43,65.19,1236,20136,19,468,225.2865203,3.2,2.8,No,10,35,642624.58
Restaurant 141,Rural,French,3.1,42,59.53,2365,23206,11,967,260.4037008,3.8,3.2,Yes,19,41,572270.54
Restaurant 142,Suburban,Mexican,3.2,54,33.15,2300,22694,10,856,181.7159445,9.8,8.4,Yes,45,53,420677.3
Restaurant 143,Suburban,Indian,4,51,30.82,2537,29430,14,872,287.0439038,6.1,2.3,No,4,23,370281.72
Restaurant 144,Downtown,American,3.9,88,35.63,1647,24710,14,791,138.3618609,6.3,3.4,No,31,78,714683.03
Restaurant 145,Rural,Mexican,4.9,46,26.37,3976,49139,10,312,113.1387453,6.9,7.6,No,4,20,292579.21
Restaurant 146,Rural,Mexican,4.9,40,29.93,4192,43570,4,495,223.272467,4.6,2.5,Yes,21,39,280989.1
Restaurant 147,Rural,Italian,4.6,45,47.32,3708,46116,10,600,93.93743416,9.8,8.5,Yes,0,15,495266.2
Restaurant 148,Downtown,Italian,4.2,89,48.16,5636,62047,6,453,274.9919631,9.8,5.4,Yes,19,82,969613.07
Restaurant 149,Downtown,Italian,3.9,87,52.13,5491,53983,11,153,146.6435457,7.9,5,Yes,50,19,1025521.51
Restaurant 150,Suburban,Japanese,3.7,69,68.94,1783,20842,18,489,224.5371637,2.9,2.2,No,31,4,1069409.84
Restaurant 151,Downtown,Italian,4.9,77,51.13,2651,29687,6,913,192.5458806,8.9,7.1,Yes,58,14,887173.4
Restaurant 152,Rural,American,4.2,31,39.54,2332,24541,15,755,63.59771472,1.9,9,Yes,22,7,296268.77
Restaurant 153,Rural,Mexican,4.2,46,26.86,2683,31728,6,192,227.2696768,6.7,7.2,Yes,27,9,290499.5
Restaurant 154,Downtown,American,3.5,80,35.81,5792,57816,1,763,247.5011826,5.1,3.9,No,27,74,649612.81
Restaurant 155,Rural,Indian,3.1,43,32.6,2343,21703,9,966,295.6181077,1.4,7.3,Yes,16,33,328473.25
Restaurant 156,Rural,Italian,4.9,45,45.63,3819,44311,14,256,154.0319166,9.1,5.6,Yes,33,43,482957.58
Restaurant 157,Downtown,Japanese,3.6,84,71.8,4463,50781,3,595,175.732892,9.6,8.7,Yes,59,56,1351663.35
Restaurant 158,Downtown,Indian,3.9,84,38.75,3588,37026,1,852,268.7168342,9.2,5.1,No,58,71,734931.05
Restaurant 159,Rural,Japanese,3.2,32,68.74,2314,28085,14,932,117.2993283,2.7,3.1,Yes,27,7,507706.33
Restaurant 160,Rural,Indian,4.7,36,34.26,4600,48778,14,310,97.28565818,4,1.9,Yes,23,23,298590.7
Restaurant 161,Rural,Mexican,3.1,41,33.98,1092,12071,4,873,83.22756827,9.6,3.5,No,1,33,320799.29
Restaurant 162,Suburban,American,4.7,52,37.45,4054,44969,14,132,294.5630533,2,6.1,Yes,26,39,455558.3
Restaurant 163,Suburban,French,3.3,68,56.31,2623,26229,4,312,117.5898089,6.2,2.5,No,8,20,854365.15
Restaurant 164,Suburban,American,4.8,59,40.51,4522,51688,11,870,239.348625,5.4,1.4,No,51,51,553069.13
Restaurant 165,Downtown,Italian,4.5,77,52.11,7924,87894,9,799,162.4167886,2.4,5,No,35,65,914520.63
Restaurant 166,Suburban,French,3.3,65,61.6,2905,30441,11,221,110.1438437,9,4.1,Yes,56,18,905305.95
Restaurant 167,Downtown,Japanese,4.1,85,72.85,5772,60604,15,747,278.3334499,2.2,4.8,No,10,13,1389460.5
